probe,gene,chr,s1,s2
211077_s_at,TLK1,chr2,171854269,171863137
211078_s_at,STK3,chr8,99718771,99761561
211079_s_at,DYRK1A,chr21,38862670,38865405
211080_s_at,NEK2,chr1,211844572,211847696
211081_s_at,MAP4K5,chr14,50935443,50952338
211082_x_at,MARK2,chr11,63667396,63667509
211083_s_at,MAP3K13,chr3,185161278,185165737
211084_x_at,PRKD3,chr2,37483935,37486772
211085_s_at,STK4,chr20,43610526,43623797
211086_x_at,NEK1,chr4,170509799,170510631
211087_x_at,MAPK14,chr6,36043622,36043739
211088_s_at,PLK4,chr4,128806975,128807112
211089_s_at,NEK3,chr13,52725280,52728104
211090_s_at,PRPF4B,chr6,4056590,4057309
211091_s_at,NF2,chr22,29999937,30090934
211092_s_at,NF2,chr22,29999937,30090881
211093_at,PDE6C,chr10,95372344,95425428
211094_s_at,NF1,chr17,29421944,29546377
211095_at,NF1,chr17,29421944,29546377
211096_at,PBX2,chr6,32154751,32157719
211097_s_at,PBX2,chr6,32154751,32157719
211098_x_at,TMCO1,chr1,165712403,165737996
211099_s_at,CNGB1,chr16,57917846,58005012
211100_x_at,LILRA2,chr19,55085345,55098862
211101_x_at,LILRA2,chr19,55085307,55098862
211102_s_at,LILRA2,chr19,55085345,55098862
211103_at,MYO7A,chr11,76839315,76896040
211104_s_at,MYO7A,chr11,76839315,76896040
211105_s_at,NFATC1,chr18,77160335,77289322
211106_at,SUPT3H,chr6,44777053,45345690
211107_s_at,AURKC,chr19,57742458,57746806
211108_s_at,JAK3,chr19,17940596,17958823
211109_at,JAK3,chr19,17940596,17958823
211110_s_at,AR,chrX,66764985,66943786
211111_at,HGC6.3,chr6,168376603,168377619
211112_at,SLC12A4,chr16,67978387,68002456
211113_s_at,ABCG1,chr21,43645834,43716951
211114_x_at,GEMIN2,chr14,39583509,39605700
211115_x_at,GEMIN2,chr14,39583509,39605741
211116_at,SLC9A2,chr2,103236219,103325110
211117_x_at,ESR2,chr14,64694223,64749754
211118_x_at,ESR2,chr14,64694131,64761078
211119_at,ESR2,chr14,64701687,64761128
211120_x_at,ESR2,chr14,64699805,64749797
211121_s_at,DOK1,chr2,74781881,74784241
211122_s_at,CXCL11,chr4,76955389,76957206
211123_at,SLC5A5,chr19,17982906,18004777
211124_s_at,KITLG,chr12,88898963,88974197
211125_x_at,GRIN1,chr9,140033888,140062648
211126_s_at,CSRP2,chr12,77252661,77260040
211127_x_at,EDA,chrX,68835910,69177327
211128_at,EDA,chrX,68835910,68837143
211129_x_at,EDA,chrX,68835910,69177327
211130_x_at,EDA,chrX,68835910,69177327
211131_s_at,EDA,chrX,68835910,69080889
211132_at,---,chr1,153744846,153746555
211133_x_at,LILRA6,chr19,54720796,54746602
211135_x_at,LILRA6,chr19,54720796,54746602
211136_s_at,CLPTM1,chr19,45465216,45496592
211137_s_at,ATP2C1,chr3,130613021,130721992
211138_s_at,KMO,chr1,241695649,241755589
211139_s_at,NAB1,chr2,191523883,191555139
211140_s_at,CASP2,chr7,142985599,143002164
211141_s_at,CNOT3,chr19,54646664,54659445
211142_x_at,HLA-DOA,chr6,32976038,32977359
211143_x_at,NR4A1,chr12,52445248,52453285
211144_x_at,TARP,chr7,38279195,38370558
211145_x_at,IFNA21,chr9,21165924,21166659
211146_at,IGKC,---,,
211147_s_at,P2RX6,chr22,21369474,21380977
211148_s_at,ANGPT2,chr8,6360600,6420475
211149_at,UTY,chrY,15360318,15592550
211150_s_at,DLAT,chr11,111896412,111933313
211151_x_at,GH1,chr17,61994578,61996154
211152_s_at,HTRA2,chr2,74757116,74760300
211153_s_at,TNFSF11,chr13,43145794,43181155
211154_at,THPO,chr3,184089772,184094070
211155_s_at,THPO,chr3,184089772,184094070
211156_at,CDKN2A,chr9,21968178,21974826
211157_at,---,chr2,74907730,74909186
211159_s_at,PPP2R5D,chr6,42952389,42979065
211160_x_at,ACTN1,chr14,69341535,69445884
211161_s_at,COL3A1,---,,
211162_x_at,SCD,chr10,102107826,102120979
211163_s_at,TNFRSF10C,chr8,22960442,22974683
211164_at,EPHA3,chr3,89156811,89449495
211165_x_at,EPHB2,chr1,23107910,23240245
211166_at,FAM153A,chr5,175490539,175541800
211167_s_at,GCK,chr7,44183876,44198874
211168_s_at,UPF1,chr19,18942809,18979038
211169_s_at,PPP1R3A,chr7,113519825,113559051
211170_s_at,PDE10A,chr6,165744538,166075557
211171_s_at,PDE10A,chr6,165746491,166075521
211172_x_at,AKAP7,chr6,131571622,131602929
211173_at,CCKAR,chr4,26480995,26492042
211174_s_at,CCKAR,chr4,26483224,26491960
211175_at,GPR45,chr2,105858199,105859924
211176_s_at,PAX4,chr7,127250864,127255982
211177_s_at,TXNRD2,chr22,19863039,19920076
211178_s_at,PSTPIP1,chr15,77287914,77329672
211179_at,LOC100506403,chr21,36231769,36259409
211180_x_at,LOC100506403,chr21,36164051,36421585
211181_x_at,LOC100506403,chr21,36231770,36259409
211182_x_at,LOC100506403,chr21,36206706,36259409
211184_s_at,USH1C,chr11,17515443,17555057
211185_s_at,SF3B1,chr9,97220676,97222465
211186_s_at,AAK1,chr2,69746185,69870213
211187_at,---,chr7,35915111,35916589
211188_at,CD84,chr1,160522696,160549294
211189_x_at,CD84,chr1,160518034,160549294
211190_x_at,CD84,chr1,160518036,160549294
211191_at,CD84,chr1,160523538,160549294
211192_s_at,CD84,chr1,160523538,160549294
211193_at,TP63,chr3,189507486,189591364
211194_s_at,TP63,chr3,189507531,189613290
211195_s_at,TP63,chr3,189349276,189612487
211196_at,DBT,chr1,100676098,100715373
211197_s_at,ICOSLG,chr21,45646723,45660821
211198_s_at,ICOSLG,chr21,45648375,45660821
211199_s_at,ICOSLG,chr21,45642884,45660723
211200_s_at,EFCAB2,chr1,27939138,27953078
211201_at,FSHR,chr2,49189848,49381631
211202_s_at,KDM5B,chr1,202696570,202777546
211203_s_at,CNTN1,chr12,41302160,41464067
211204_at,ME1,chr6,83921554,84140685
211205_x_at,PIP5K1A,chr1,151171070,151220447
211207_s_at,ACSL6,chr5,131289611,131329946
211208_s_at,CASK,chrX,41378779,41449204
211209_x_at,SH2D1A,chrX,123480438,123505338
211210_x_at,SH2D1A,chrX,123480438,123505338
211211_x_at,SH2D1A,chrX,123480438,123505338
211212_s_at,ORC5,chr7,103808624,103848405
211213_at,ORC5,chr7,103808624,103848405
211214_s_at,DAPK1,chr9,90112803,90260886
211215_x_at,DIO2,chr14,80668940,80677843
211217_s_at,KCNQ1,chr11,2482683,2869468
211218_at,---,chr1,32379177,32380745
211219_s_at,LHX2,chr9,126774148,126795163
211220_s_at,HSF2,chr6,122720806,122741553
211221_at,TADA3,chr3,9824986,9834358
211222_s_at,HAP1,chr17,39878890,39890896
211223_at,PROP1,chr5,177419235,177423243
211224_s_at,ABCB11,chr2,169780000,169887796
211225_at,FUT5,chr19,5866026,5867750
211226_at,GALR2,chr17,74070939,74073534
211227_s_at,PCDH11X,chrX,91089660,91138262
211228_s_at,RAD17,chr5,68667280,68710128
211230_s_at,PIK3CD,chr1,9770255,9787285
211231_x_at,CYP4A11,chr1,47603134,47614640
211232_x_at,GLP1R,chr6,39016600,39054157
211233_x_at,ESR1,chr6,152128874,152420113
211234_x_at,ESR1,chr6,152128813,152420113
211235_s_at,ESR1,chr6,152128813,152420113
211237_s_at,FGFR4,chr5,176516567,176524770
211238_at,ADAM7,chr8,24298538,24366273
211239_s_at,ADAM7,chr8,24298538,24366273
211240_x_at,CTNND1,chr11,57480088,57585918
211241_at,ANXA2P3,chr10,66585284,66586634
211242_x_at,KIR2DL4,chr19,57248,67690
211245_x_at,KIR2DL4,chr19,57252,67999
211248_s_at,CHRD,chr3,184097860,184107617
211249_at,GPR68,chr14,91700211,91701494
211250_s_at,SH3BP2,chr4,2820540,2836014
211251_x_at,NFYC,chr1,41157512,41236771
211252_x_at,PTCRA,chr6,42883726,42893573
211253_x_at,PYY,chr17,42030108,42031299
211254_x_at,RHAG,chr6,49573435,49604552
211255_x_at,DEDD,chr1,161091975,161094318
211256_x_at,BTN2A1,chr6,26458200,26469865
211257_x_at,ZNF638,chr2,71623150,71662187
211258_s_at,TGFA,chr2,70676450,70780904
211259_s_at,BMP7,chr20,55748052,55841685
211260_at,BMP7,chr20,55748052,55841685
211261_at,NUP214,chr9,134001036,134109088
211262_at,PCSK6,chr15,101886946,102029900
211263_s_at,PCSK6,chr15,101853226,102029947
211264_at,GAD2,chr10,26505686,26590474
211265_at,PTGER3,chr1,71349404,71513316
211266_s_at,GPR4,chr19,46093998,46095319
211267_at,HESX1,chr3,57232219,57233983
211269_s_at,IL2RA,chr10,6054033,6104272
211270_x_at,PTBP1,chr19,797424,812312
211271_x_at,PTBP1,chr19,799411,812222
211272_s_at,DGKA,chr12,56324998,56345492
211273_s_at,TBX1,chr22,19744225,19767066
211274_at,TBX1,chr22,19744225,19767066
211275_s_at,GYG1,chr3,148709374,148745528
211276_at,TCEAL2,chrX,101380709,101382683
211277_x_at,APP,chr21,26968486,27543064
211279_at,NRF1,chr7,129269916,129396366
211280_s_at,NRF1,chr7,129269916,129396366
211282_x_at,TNFRSF25,chr1,6521493,6526167
211284_s_at,GRN,chr17,42422488,42430470
211285_s_at,UBE3A,chr15,25584260,25657120
211286_x_at,CSF2RA,chrY,1337737,1378827
211287_x_at,CSF2RA,chrX,1387724,1424711
211289_x_at,CDK11A,chr1,1571099,1650869
211295_x_at,CYP2A6,chr19,41594371,41601978
211296_x_at,UBC,chr12,125396193,125399197
211297_s_at,CDK7,chr5,68530714,68573122
211298_s_at,ALB,chr4,74279288,74286953
211299_s_at,FLOT2,chr17,27206357,27224627
211300_s_at,TP53,chr17,7572563,7590805
211301_at,KCND3,chr1,112318444,112531777
211302_s_at,PDE4B,chr1,66258863,66839187
211303_x_at,FOLH1B,chr11,89392464,89431885
211304_x_at,KCNJ5,chr11,128761358,128787872
211305_x_at,FCAR,chr19,55385735,55400434
211306_s_at,FCAR,chr19,55385735,55400394
211307_s_at,FCAR,chr19,55385740,55401256
211310_at,EZH1,chr17,40855210,40882937
211312_s_at,WISP1,chr8,134203379,134240000
211313_s_at,BAZ1B,chr7,72856519,72936608
211314_at,CACNA1G,chr17,48638792,48683833
211315_s_at,CACNA1G,chr17,48638792,48683833
211316_x_at,CFLAR,chr2,201980929,202029002
211317_s_at,CFLAR,chr2,201994676,202028610
211318_s_at,RAE1,chr20,55926311,55953311
211319_at,RAE1,chr20,55926311,55953311
211320_s_at,PTPRU,chr1,29563150,29653181
211322_s_at,SARDH,chr9,136578158,136603477
211323_s_at,ITPR1,chr3,4535137,4888187
211324_s_at,RGPD5,chr2,110551739,110590594
211325_x_at,DSTNP2,chr12,6993845,6994902
211326_x_at,HFE,chr6,26087625,26094485
211327_x_at,HFE,chr6,26087624,26094485
211328_x_at,HFE,chr6,26087545,26096817
211329_x_at,HFE,chr6,26087662,26097056
211330_s_at,HFE,chr6,26087545,26095445
211331_x_at,HFE,chr6,26087545,26096818
211332_x_at,HFE,chr6,26091321,26096817
211333_s_at,FASLG,chr1,172628283,172635215
211334_at,MRE11A,chr11,94208381,94227000
211336_x_at,LILRB1,chr19,55142524,55148470
211337_s_at,TUBGCP4,chr15,43668737,43697516
211338_at,IFNA2,chr9,21384428,21385387
211339_s_at,ITK,chr5,156607906,156682109
211340_s_at,MCAM,chr11,119179241,119187818
211341_at,POU4F1,chr13,79173231,79177695
211342_x_at,MED12,chrX,70349650,70362297
211343_s_at,COL13A1,chr10,71689796,71718771
211345_x_at,EEF1G,chr7,132719290,132720687
211347_at,CDC14B,chr9,99252522,99382112
211348_s_at,CDC14B,chr9,99252522,99382112
211349_at,SLC15A1,chr13,99372786,99378821
211350_s_at,KIF25-AS1,chr6,168394866,168397757
211351_at,KIF25-AS1,chr6,168394866,168397757
211352_s_at,NCOA3,chr20,46271103,46283939
211353_at,LRIT1,chr10,85991477,86001217
211354_s_at,LEPR,chr1,65991424,66091917
211355_x_at,LEPR,chr1,65991424,66098942
211356_x_at,LEPR,chr1,65886334,66098943
211357_s_at,ALDOB,chr9,104183658,104184069
211358_s_at,CIZ1,chr9,130928430,130952989
211359_s_at,OPRM1,chr6,154360483,154412717
211360_s_at,ITPR2,chr12,26874219,26985714
211361_s_at,SERPINB13,chr18,61254599,61265981
211362_s_at,SERPINB13,chr18,61255882,61264670
211363_s_at,MTAP,chr9,21802634,22032985
211364_at,MTAP,chr9,21802634,22032985
211365_s_at,PCDHA2,chr5,140174549,140177062
211366_x_at,CASP1,chr11,104896951,104905202
211367_s_at,CASP1,chr11,104896951,104905202
211368_s_at,CASP1,chr11,104896951,104905202
211369_at,---,chr15,41552368,41552943
211370_s_at,MAP2K5,chr15,67835668,68099226
211371_at,MAP2K5,chr15,67835668,68099226
211372_s_at,IL1R2,chr2,102624976,102641218
211373_s_at,PSEN2,chr1,227063197,227083797
211374_x_at,---,chr14,23233051,23234073
211375_s_at,ILF3,chr19,10781189,10800442
211376_s_at,NSMCE4A,chr10,123475005,123734709
211377_x_at,MYCN,chr2,16080685,16082265
211378_x_at,PPIA,chr7,158540908,158622163
211379_x_at,B3GALNT1,chr3,160802783,160804650
211380_s_at,PRKG1,chr10,52751117,54053821
211381_x_at,SPAG11A,chr8,7308137,7321176
211382_s_at,TACC2,chr10,123969556,124013851
211383_s_at,WDR37,chr10,1102797,1178106
211384_s_at,CASR,chr3,121973008,122004134
211385_x_at,SULT1A2,chr16,28603264,28608386
211386_at,---,---,,
211387_x_at,RNGTT,chr6,89387712,89673280
211388_s_at,---,chr12,124885046,124911218
211389_x_at,KIR3DS1,chr19,55327955,55359516
211390_at,N4BP2L1,chr13,32980710,33002143
211391_s_at,PATZ1,chr22,31722844,31740831
211392_s_at,PATZ1,chr22,31739965,31741605
211393_at,PATZ1,chr22,31739965,31741605
211395_x_at,FCGR2C,chr1,161551225,161569618
211396_at,FCGR2C,chr1,161551225,161562032
211397_x_at,KIR2DL2,chr19,21928,36334
211398_at,FGFR2,chr10,123243210,123357750
211399_at,FGFR2,chr10,123243211,123357750
211400_at,FGFR2,chr10,122483323,123357750
211401_s_at,FGFR2,chr10,123243211,123357750
211402_x_at,NR6A1,chr9,127284699,127533576
211403_x_at,VCX2,chrX,8432870,8434544
211404_s_at,APLP2,chr11,129939810,130013556
211405_x_at,IFNA17,chr9,21227561,21228314
211406_at,LOC105372099,chr18,44681412,44683862
211407_at,NDUFB7,chr19,14676891,14682849
211410_x_at,KIR2DL5A,chr19,86721,96032
211411_at,---,chr19,49255760,49815091
211412_at,PADI4,chr1,17634689,17661291
211413_s_at,PADI4,chr1,17634689,17661291
211414_at,GLS,chr2,191745601,191761294
211416_x_at,GGTLC1,chr22,25023226,25024968
211417_x_at,GGT1,chr22,25023221,25024972
211419_s_at,CHN2,chr7,29234574,29552958
211421_s_at,RET,chr10,43612031,43625788
211422_at,TRPM3,chr9,73439391,74061820
211423_s_at,SC5D,chr11,121163479,121179339
211424_x_at,METTL7A,chr12,51318859,51325344
211425_x_at,SSX4,chrX,48045654,48265523
211426_x_at,GNAQ,chr9,80334482,80646191
211427_s_at,KCNJ13,chr2,233632490,233641210
211428_at,SERPINA1,chr15,66068531,66069687
211429_s_at,SERPINA1,chr15,66068531,66069687
211430_s_at,IGHG1,chr14,106207675,107170401
211431_s_at,TYRO3,chr15,41851459,41870584
211432_s_at,TYRO3,chr15,41851449,41871406
211433_x_at,FAM214B,chr9,35104157,35111371
211434_s_at,CCRL2,chr3,46449114,46451013
211435_at,---,---,,
211436_at,---,chr22,42029312,42029983
211437_at,---,chr6,161499122,161500266
211438_at,TRHR,chr8,110099729,110131704
211439_at,SRSF7,chr2,38972035,38978483
211440_x_at,CYP3A43,chr7,99425738,99463624
211441_x_at,CYP3A43,chr7,99425738,99463624
211442_x_at,CYP3A43,chr7,99425738,99463624
211444_at,SUMO2,chr17,73161681,73163345
211445_x_at,NACAP1,chr8,102380999,102382292
211446_at,RGSL1,chr1,182423091,182457883
211447_s_at,PDE4A,chr19,10569644,10578042
211448_s_at,RGS6,chr14,72431508,73029460
211449_at,MSH6,chr2,48010289,48028471
211450_s_at,MSH6,chr2,48010289,48028471
211451_s_at,KCNJ4,chr22,38822538,38851179
211452_x_at,LRRFIP1,chr2,238672594,238674103
211453_s_at,AKT2,chr19,40739794,40791194
211454_x_at,---,chr6,27794110,27794862
211455_at,EIF3FP1,chr21,11180766,11181816
211456_x_at,MT1HL1,chr1,237167402,237167718
211457_at,GABARAPL3,chr15,90890818,90892669
211458_s_at,GABARAPL1,chr15,90890818,90892669
211459_at,---,chr2,128099127,128100674
211460_at,OFD1P6Y,chrY,20893580,20901083
211461_at,CSPG4P1Y,chrY,27629054,27632852
211462_s_at,TBL1Y,chrY,6778726,6959724
211463_at,ZIC4,chr3,147112707,147115180
211464_x_at,CASP6,chr4,110609784,110624551
211465_x_at,FUT6,chr19,5830478,5839703
211466_at,NFIB,chr9,14305758,14313992
211467_s_at,NFIB,chr9,14305758,14313992
211468_s_at,RECQL5,chr17,73646438,73663269
211469_s_at,CXCR6,chr3,45986510,45989315
211470_s_at,SULT1C2,chr2,108905094,108925168
211471_s_at,RAB36,chr22,23487542,23506531
211472_at,PLXNB2,chr22,50713459,50718170
211473_s_at,COL4A6,chrX,107399685,107682702
211474_s_at,SERPINB6,chr1,46744417,46746936
211475_s_at,BAG1,chr9,33255025,33264687
211476_at,MYOZ2,chr4,120057020,120108935
211478_s_at,DPP4,chr2,162849284,162930498
211479_s_at,HTR2C,chrX,113818595,114142714
211480_s_at,SLCO1A2,chr12,21427850,21472357
211481_at,SLCO1A2,chr12,21427850,21472357
211483_x_at,CAMK2B,chr7,44259028,44365023
211484_s_at,DSCAM,chr21,41384846,42219039
211485_s_at,FGF18,chr5,170847203,170884158
211486_s_at,KCNQ2,chr20,62037818,62103862
211487_x_at,RPS17,chr15,82821160,83067178
211488_s_at,ITGB8,chr7,20370724,20438680
211489_at,ADRA1A,chr8,26613912,26722922
211490_at,ADRA1A,chr8,26623370,26722686
211491_at,ADRA1A,chr8,26605666,26722922
211492_s_at,ADRA1A,chr8,26627588,26722916
211493_x_at,DTNA,chr18,32259500,32468089
211494_s_at,SLC4A4,chr4,72053043,72434175
211495_x_at,TNFSF12-TNFSF13,chr17,7462084,7464376
211496_s_at,PDC,chr1,186412722,186418615
211497_x_at,NKX3-1,chr8,23538516,23540402
211498_s_at,NKX3-1,chr8,23538713,23540402
211499_s_at,MAPK11,chr22,50702143,50708725
211500_at,MAPK11,chr22,50702141,50708732
211501_s_at,EIF3B,chr7,2394525,2420375
211502_s_at,CDK14,chr7,90225810,90836945
211503_s_at,RAB14,chr9,123943553,123963974
211504_x_at,ROCK2,chr2,11323489,11484262
211505_s_at,STAU1,chr20,47730406,47804887
211506_s_at,CXCL8,chr4,74606368,74607738
211507_s_at,MTMR3,chr22,30374429,30421806
211508_s_at,GH2,chr17,61957608,61959173
211509_s_at,RTN4,chr2,55199328,55277502
211510_s_at,CRHR2,chr7,30692862,30726216
211512_s_at,OGFR,chr20,61436204,61445350
211513_s_at,OGFR,chr20,61436204,61445350
211514_at,DSTYK,chr1,205129133,205142477
211515_s_at,DSTYK,chr1,205129133,205142477
211516_at,IL5RA,chr3,3133487,3151664
211517_s_at,IL5RA,chr3,3133487,3151664
211518_s_at,BMP4,chr14,54416659,54418924
211519_s_at,KIF2C,chr1,45212084,45232878
211520_s_at,GRIA1,chr5,152870375,153191161
211521_s_at,CYTH4,chr22,37678423,37710179
211522_s_at,GNRHR,chr4,68605698,68620100
211523_at,GNRHR,chr4,68605045,68620067
211524_at,NFKB2,chr10,104155697,104160733
211525_s_at,GP5,chr3,194115549,194119083
211526_s_at,RTEL1,chr20,62289712,62305447
211527_x_at,VEGFA,chr6,43738819,43752686
211528_x_at,HLA-G,chr6,29795621,29977402
211529_x_at,HLA-G,chr6,29795621,29798631
211530_x_at,HLA-G,chr6,29795621,29798631
211531_x_at,PRB1,chr12,11504756,11508512
211532_x_at,KIR2DS2,chr19,55249999,55359895
211533_at,PDGFRA,chr4,55095466,55162947
211534_x_at,PTPRN2,chr7,157332529,158380793
211535_s_at,FGFR1,chr8,38270380,38326128
211536_x_at,MAP3K7,chr6,91226219,91296602
211537_x_at,MAP3K7,chr6,91226104,91296608
211538_s_at,HSPA2,chr14,64590735,65009952
211540_s_at,RB1,chr13,48877910,48937044
211541_s_at,DYRK1A,chr21,38792601,38884889
211542_x_at,RPS10,chr1,2282308,2284259
211543_s_at,GRK6,chr5,176853843,176868354
211544_s_at,GHRHR,chr7,31011583,31023975
211545_at,GHRHR,chr7,31011583,31023975
211546_x_at,SNCA,chr4,90647766,90756836
211547_s_at,PAFAH1B1,chr17,2570339,2586175
211548_s_at,HPGD,chr4,175411611,175443619
211549_s_at,HPGD,chr4,175413083,175443602
211550_at,EGFR,chr7,55086725,55238738
211551_at,EGFR,chr7,55086810,55324289
211552_s_at,ALDH4A1,chr1,19197925,19229047
211553_x_at,APAF1,chr12,99042137,99043352
211554_s_at,APAF1,chr12,99042137,99126344
211555_s_at,GUCY1B3,chr4,156680241,156727700
211556_at,MAPRE2,chr18,32621396,32707579
211557_x_at,SLCO2B1,chr11,74870843,74915760
211558_s_at,DHPS,chr19,12786535,12792585
211559_s_at,CCNG2,chr4,78079449,78087216
211560_s_at,ALAS2,chrX,55035491,55044047
211561_x_at,MAPK14,chr6,35995916,36076386
211562_s_at,LMOD1,chr1,201866632,201915597
211563_s_at,URI1,chr19,30476100,30506044
211564_s_at,PDLIM4,chr5,131593399,131608023
211565_at,SH3GL3,---,,
211566_x_at,BRE,chr2,28210858,28561766
211567_at,---,chr16,29674578,29676827
211568_at,ADGRB3,chr6,69345350,70037038
211569_s_at,HADH,chr4,108910869,108956017
211570_s_at,RAPSN,chr11,47459314,47470695
211571_s_at,VCAN,chr5,82767743,82876267
211572_s_at,SLC23A2,chr20,4837517,4951517
211573_x_at,TGM2,chr20,36766351,36793646
211574_s_at,CD46,chr1,207925536,207967000
211575_s_at,UBE3A,chr2,219090639,219114631
211576_s_at,SLC19A1,chr21,46934628,46962330
211577_s_at,IGF1,chr12,102796236,102872429
211578_s_at,RPS6KB1,chr17,57970578,58024332
211579_at,ITGB3,chr17,45331227,45385003
211580_s_at,PIK3R3,chr1,46509333,46598288
211581_x_at,LST1,chr6,31554624,31556587
211582_x_at,LST1,chr6,31554475,31556587
211583_x_at,NCR3,chr6,31556672,31560762
211584_s_at,NPAT,chr11,108032304,108093263
211585_at,NPAT,chr11,108032304,108093263
211586_s_at,ATP2B2,chr3,10370484,10547246
211587_x_at,CHRNA3,chr15,78885393,78913205
211588_s_at,PML,chr15,74287084,74337985
211589_at,PML,chr15,74287084,74337985
211590_x_at,TBXA2R,chr19,3594777,3606658
211591_s_at,PDE4A,chr19,10531332,10579169
211592_s_at,CACNA1C,chr12,2224418,2801325
211593_s_at,MAST2,chr1,46269284,46501796
211594_s_at,MRPL9,chr1,151732391,151735970
211595_s_at,MRPS11,chr15,89010683,89021495
211596_s_at,LRIG1,chr3,66429221,66551351
211597_s_at,HOPX,chr4,57514165,57524065
211598_x_at,VIPR2,chr7,158823103,158937627
211599_x_at,MET,chr7,116414930,116436366
211600_at,PTPRO,chr12,15475486,15750327
211601_at,---,chr7,129546219,129549153
211602_s_at,TRPC1,chr3,142442915,142525270
211603_s_at,ETV4,chr17,41605211,41607549
211604_x_at,HAP1,chr17,39881090,39888322
211605_s_at,RARA,chr17,38504565,38512776
211606_at,---,---,,
211607_x_at,EGFR,chr7,55086726,55224642
211608_at,TRBV10-2,chr7,142206514,142206990
211609_x_at,PSMD4,chr1,151227232,151239865
211610_at,KLF6,chr10,3822518,3827381
211611_s_at,ATF6B,chr6,32065906,32095988
211612_s_at,IL13RA1,chrX,117861570,117925971
211613_s_at,GPD2,chr2,157291952,157425395
211614_at,ERVH-6,---,,
211615_s_at,LRPPRC,chr2,44114887,44209403
211616_s_at,HTR2A,chr13,47408995,47470017
211617_at,ALDOAP2,chr10,127354728,127356770
211618_s_at,ALPI,chr2,233320901,233323994
211619_s_at,ALPP,chr2,233243474,233246556
211620_x_at,LOC100506403,chr21,36206706,36259394
211621_at,AR,chrX,66764940,66944058
211622_s_at,ARF3,chr12,49332641,49351241
211623_s_at,FBL,chr19,40325097,40336990
211624_s_at,DRD2,chr11,113281360,113346111
211625_s_at,DRD3,chr3,113847556,113890839
211626_x_at,ERG,chr21,39753491,39956824
211627_x_at,ESR1,chr6,152128807,152183865
211628_x_at,FTH1P5,chr6,50880030,50881671
211630_s_at,GSS,chr20,33516404,33543560
211631_x_at,B4GALT1,chr9,33113255,33167234
211632_at,SKAP2,chr14,106829603,106829884
211633_x_at,IGHG1,chr14,106330425,106453116
211634_x_at,IGHM,chr14,106329408,107170377
211635_x_at,IGHV1-69,chr14,106330425,107170377
211636_at,IGH,chr14,106877622,106877915
211637_x_at,---,chr14,106329408,106478400
211638_at,---,chr14,106330797,106478400
211639_x_at,SKAP2,chr14,106330425,106478400
211640_x_at,IGHV1-69,chr14,107169933,107170224
211641_x_at,---,chr14,106330425,106691979
211642_at,IGHV3-73,chr14,107210928,107211244
211643_x_at,IGKC,chr2,89161395,89384957
211644_x_at,IGKC,chr2,89160396,89442344
211645_x_at,IGKV1-17,chr2,89161395,89417117
211646_at,---,chr14,106330797,106518826
211647_x_at,IGHG1,chr14,107169928,107170224
211648_at,IGHG1,chr14,107169928,107170224
211649_x_at,---,chr14,106330797,106452964
211650_x_at,IGK,chr14,106331409,106725494
211651_s_at,LAMB1,chr7,107564771,107577658
211652_s_at,LBP,chr20,36974919,37005308
211653_x_at,AKR1C2,chr10,5008103,5260786
211654_x_at,HLA-DQB1,chr6,32627773,32634352
211655_at,IGLC1,chr22,22730369,23248968
211656_x_at,HLA-DQB1,chr6,32627663,32634352
211657_at,CEACAM6,chr19,42259496,42275777
211658_at,PRDX2,chr19,12907638,12912613
211659_at,GPR135,chr14,59930509,59931996
211660_at,POU2F2,chr19,42595979,42636625
211661_x_at,PTAFR,chr1,28476250,28503144
211662_s_at,VDAC2,chr10,76970605,76991035
211663_x_at,PTGDS,chr9,139871956,139876193
211665_s_at,SOS2,chr14,50585172,50623840
211666_x_at,RPL3,chr22,39710708,39714617
211667_x_at,TRAV12-2,chr14,22356609,22356679
211668_s_at,PLAU,chr10,75670927,75676422
211670_x_at,SSX3,chrX,48206366,48214684
211671_s_at,NR3C1,chr5,142660726,142783254
211672_s_at,ARPC4,chr3,9839341,9845697
211673_s_at,MOCS1,chr6,39873096,39902173
211674_x_at,CTAG1A,chrX,153813419,153815074
211675_s_at,MDFIC,chr7,114562208,114658795
211676_s_at,IFNGR1,chr6,137519017,137540485
211677_x_at,CADM3,chr1,159141419,159171801
211678_s_at,RNF114,chr14,101312212,101313010
211679_x_at,GABBR2,chr9,101052580,101471093
211680_at,PDLIM5,chr4,95496145,95497482
211681_s_at,PDLIM5,chr4,95496145,95497482
211682_x_at,UGT2B28,chr4,70146216,70160767
211684_s_at,DYNC1I2,chr10,52024647,52027091
211685_s_at,NCALD,chr8,102698968,103032518
211686_s_at,MAK16,chr8,33342710,33358687
211687_x_at,KIR3DL1,chr19,70074,145548
211688_x_at,KIR3DL1,chr19,55361897,55378447
211689_s_at,TMPRSS2,chr21,42837935,42870118
211690_at,RPS6,chr9,19200533,19378837
211691_x_at,---,---,,
211692_s_at,BBC3,chr19,47724083,47734451
211693_at,IGH,chr14,106170301,106170940
211694_at,TSSK1B,chr5,112769061,112770620
211695_x_at,MUC1,chr1,155158598,155162658
211696_x_at,HBB,chr11,5246725,5248286
211697_x_at,PNO1,chr2,68385023,68402770
211698_at,EID1,chr15,49170319,49172001
211699_x_at,HBA1,chr16,226690,227447
211700_s_at,TRO,chrX,54947248,54957862
